company,file,window_end_index,abs_pct_change,pct_change,S0,sigma,option_price,future_price,outlier_rule
amazon,amazon_us_d.csv,174,1032.2148689523704,1032.2148689523704,0.2405,0.9028497473057807,0.08652324016954925,2.8095,IQR_1.5
amazon,amazon_us_d.csv,678,109.80529491284783,-109.80529491284783,3.347,0.9658423419898226,1.2781832207330166,0.95,IQR_1.5
apple,apple_us_d.csv,4897,243.31143746837523,243.31143746837523,0.326613,0.5277740263240693,0.07257021474141559,1.19387,IQR_1.5
apple,apple_us_d.csv,3637,148.67224875949518,148.67224875949518,0.306577,0.4779605596579837,0.06233207992060247,0.824704,IQR_1.5
chevron,chevron_us_d.csv,4070,48.54569407268755,48.54569407268755,2.71804,0.27009373441615,0.33609861682672393,4.37363,IQR_1.5
cop,cop_us_d.csv,9859,81.49631715373977,81.49631715373977,45.9457,0.32861614706199754,6.716546609494184,90.1063,IQR_1.5
cop,cop_us_d.csv,8347,64.84950260515674,-64.84950260515674,53.7907,0.3098793656475883,7.4756013978320475,26.3833,IQR_1.5
dowjones,dowjones_d.csv,8883,73.7525937260729,-73.7525937260729,142.6,0.194254876981399,13.471198653379957,50.9,IQR_1.5
dowjones,dowjones_d.csv,9387,69.71568280177337,69.71568280177337,59.3,0.21867650137050115,6.158600098548391,106.8,IQR_1.5
dowjones,dowjones_d.csv,4599,55.90406973745492,55.90406973745492,56.54,0.1832171900009794,5.101838970442987,93.25,IQR_1.5
dowjones,dowjones_d.csv,63,55.359108494623065,55.359108494623065,22.21,0.32955107700915365,3.254742003344214,37.76,IQR_1.5
dowjones,dowjones_d.csv,7875,46.394306357076694,46.394306357076694,194.78,0.17889447332166053,17.253170077685994,302.4,IQR_1.5
enb,enb_us_d.csv,2507,46.08596851849921,-46.08596851849921,31.6403,0.2325165534071108,3.454538697158707,20.5131,IQR_1.5
enph,enph_us_d.csv,1729,405.9972864152379,405.9972864152379,7.66,0.8386573012433327,2.5806078605927807,41.34,IQR_1.5
enph,enph_us_d.csv,1981,369.2777269413815,369.2777269413815,41.09,0.8278690709683625,13.683781999786303,206.51,IQR_1.5
eog,eog_us_d.csv,2607,171.48881045303517,171.48881045303517,3.12847,0.3588033425710856,0.4936240116199293,8.98707,IQR_1.5
eog,eog_us_d.csv,7899,79.09764034299843,79.09764034299843,55.7274,0.3916798005430527,9.495541575495896,109.302,IQR_1.5
eog,eog_us_d.csv,3867,74.58394479947515,74.58394479947515,15.5189,0.363142600795864,2.474492190514253,29.568,IQR_1.5
eog,eog_us_d.csv,591,73.9614309931738,73.9614309931738,1.63018,0.36402637646924635,0.2604855442354791,3.09637,IQR_1.5
exxon,exxon_us_d.csv,4069,58.138088029413204,58.138088029413204,3.73384,0.20100325113518944,0.36240681392255825,6.26703,IQR_1.5
exxon,exxon_us_d.csv,12889,52.81074397785153,52.81074397785153,47.1082,0.23625243867306106,5.211109105425759,77.1975,IQR_1.5
fslr,fslr_us_d.csv,55,364.55722495185495,364.55722495185495,33.79,0.6158920735042249,8.626113688768216,165.6,IQR_1.5
general,general_mills_us_d.csv,678,50.324523855126635,50.324523855126635,1.6005,0.24019314506290765,0.1794759956986982,2.58542,IQR_1.5
microsoft,microsoft_us_d.csv,3005,113.24023448218385,113.24023448218385,12.8588,0.43305009280723056,2.394464728404939,29.8146,IQR_1.5
microsoft,microsoft_us_d.csv,989,99.42752707608767,99.42752707608767,0.453299,0.5844991422045595,0.1103970140393653,1.0144,IQR_1.5
microsoft,microsoft_us_d.csv,2501,87.19030114666755,87.19030114666755,4.05799,0.45484917150728654,0.7893762984983457,8.38554,IQR_1.5
nasdaq,nasdaq_us_d.csv,742,60.83006639023072,-60.83006639023072,11.1358,0.4472920091112484,2.134114533083313,6.496,IQR_1.5
plug,plug_us_d.csv,2177,1292.8065569186665,1292.8065569186665,4.42,0.9270851375965985,1.6279501841949293,63.19,IQR_1.5
plug,plug_us_d.csv,413,905.160061545127,905.160061545127,0.3399,0.6688307766175424,0.09346095080811345,3.51,IQR_1.5
shell,shell_us_d.csv,258,12.257998327408858,-12.257998327408858,61.83,0.33410656520456367,9.1691203658369,63.42,IQR_1.5
sp500,sp500_d.csv,831,111.2044123190399,111.2044123190399,1.79,0.4566726842165093,0.3494410194891856,4.13,IQR_1.5
sp500,sp500_d.csv,75,82.76278207095582,82.76278207095582,0.77,0.26170722800070007,0.0927265780536401,1.5,IQR_1.5
sp500,sp500_d.csv,14943,67.77556962499764,-67.77556962499764,14.51,0.18590230282454165,1.3242351525871596,6.0,IQR_1.5
sp500,sp500_d.csv,15447,66.44142113513377,66.44142113513377,6.25,0.20133045685718845,0.6074111790541394,11.01,IQR_1.5
sp500,sp500_d.csv,16707,50.226299511524275,-50.226299511524275,16.13,0.2051856934054837,1.5915021112088645,9.62,IQR_1.5
target,target_us_d.csv,3496,80.25167534880391,80.25167534880391,6.50276,0.29707256490237455,0.8716661560881187,12.593,IQR_1.5
tesla,tesla_us_d.csv,660,394.0431455130265,394.0431455130265,2.526,0.5985392610177815,0.6284701443409512,13.108,IQR_1.5
tesla,tesla_us_d.csv,2424,387.64634966123504,387.64634966123504,53.3367,0.5324721488936708,11.945529420236067,272.04,IQR_1.5
tesla,tesla_us_d.csv,2172,142.44616047777996,142.44616047777996,20.2513,0.5280171368697317,4.501500703163348,53.6,IQR_1.5
total,total_energies_us_d.csv,742,34.91807651828126,-34.91807651828126,37.1599,0.21919982709293814,3.8667223161167996,28.0511,IQR_1.5
