company,file,window_end_index,S0,sigma,option_price,future_price,pct_change,abs_pct_change
GE,GE_Vernova_us_d.csv,220,375.2,0.5422571371353573,85.4167683081653,834.61,99.67836665560628,99.67836665560628
amazon,amazon_us_d.csv,6978,226.63,0.5507221172787268,52.3168409886749,204.9,-32.67300930533243,32.67300930533243
amazon,amazon_us_d.csv,6726,169.8,0.5584587547928518,39.692390919849544,226.65,10.104598987132183,10.104598987132183
amazon,amazon_us_d.csv,6474,99.7,0.5660371894061311,23.590010651967994,170.98,47.83348981748444,47.83348981748444
amazon,amazon_us_d.csv,6222,153.294,0.5688066871301989,36.43044623709869,99.54,-58.83103463742789,58.83103463742789
amazon,amazon_us_d.csv,5970,163.886,0.5775174276033707,39.48376472338583,159.004,-27.071113288130675,27.071113288130675
amazon,amazon_us_d.csv,5718,107.494,0.5845895466412943,26.182869063637035,163.106,27.37746379924737,27.37746379924737
amazon,amazon_us_d.csv,5466,82.0,0.5962169836195551,20.330371532190405,108.0,6.914181058304385,6.914181058304385
amazon,amazon_us_d.csv,5214,69.3665,0.6051127559261024,17.428974978733397,81.9005,-7.056684391937614,7.056684391937614
amazon,amazon_us_d.csv,4962,41.373,0.6182324453640132,10.598083580222951,66.98,36.27708026920227,36.27708026920227
amazon,amazon_us_d.csv,4710,25.191,0.6322858800697037,6.584869094319938,41.068,36.88670916470193,36.88670916470193
amazon,amazon_us_d.csv,4458,18.757,0.6446075830926683,4.9890095043776395,24.524,4.14773415590105,4.14773415590105
amazon,amazon_us_d.csv,4206,18.0895,0.6586467162523254,4.905742426469719,18.6495,-24.02356298664817,24.02356298664817
amazon,amazon_us_d.csv,3954,12.8605,0.6755171914516438,3.5680164364831226,18.0435,12.557704315671078,12.557704315671078
amazon,amazon_us_d.csv,3702,9.274,0.6935679310796345,2.6347888461938083,13.0975,12.81767472294795,12.81767472294795
amazon,amazon_us_d.csv,3450,9.153,0.7106783986560997,2.6580665283225,9.2095,-28.423102024718673,28.423102024718673
amazon,amazon_us_d.csv,3198,5.9015,0.7323381639569155,1.76071621413145,8.8215,19.64388351891129,19.64388351891129
amazon,amazon_us_d.csv,2946,3.3355,0.7516177573749284,1.018655521696603,5.8415,44.59134997162036,44.59134997162036
amazon,amazon_us_d.csv,2694,3.675,0.7576291495773064,1.1303949647715013,3.3275,-40.214828973374175,40.214828973374175
amazon,amazon_us_d.csv,2442,1.955,0.7785066434821868,0.6161869885897983,3.5455,49.83698268082873,49.83698268082873
amazon,amazon_us_d.csv,2190,1.876,0.8106866706806918,0.6131361763845917,1.949,-28.791907056747952,28.791907056747952
amazon,amazon_us_d.csv,1938,1.7845,0.8535572357646284,0.6107103192308232,1.8975,-27.890743582562244,27.890743582562244
amazon,amazon_us_d.csv,1686,2.3175,0.8988375421268742,0.8304620351782366,1.786,-58.76858835720545,58.76858835720545
amazon,amazon_us_d.csv,1434,1.1045,0.956248627236108,0.4180980696818004,2.302,70.5660416766138,70.5660416766138
amazon,amazon_us_d.csv,1182,0.6865,1.0102663781762968,0.2727422208650653,1.1085,21.74184692424396,21.74184692424396
amazon,amazon_us_d.csv,930,0.975,0.9883738012215844,0.3799802359083148,0.7095,-66.20310111880153,66.20310111880153
amazon,amazon_us_d.csv,426,2.8775,0.96121547395002,1.0942418646780518,3.2405,-25.41240190019294,25.41240190019294
apple,apple_us_d.csv,10189,243.767,0.4346358500053812,45.53990932802601,263.89,-10.426722783652432,10.426722783652432
apple,apple_us_d.csv,9937,183.542,0.4384868603006872,34.55853147683938,240.708,12.317327109413986,12.317327109413986
apple,apple_us_d.csv,9685,148.994,0.4430459232925593,28.312682604088927,185.636,5.590371018907518,5.590371018907518
apple,apple_us_d.csv,9433,172.877,0.4451705484059641,32.99111228672204,148.628,-33.1103109648606,33.1103109648606
apple,apple_us_d.csv,9181,131.99,0.4493853087474099,25.400458608674285,171.453,10.654247587942804,10.654247587942804
apple,apple_us_d.csv,8929,77.3015,0.4487523683145548,14.857431764259305,132.599,52.31472640988943,52.31472640988943
apple,apple_us_d.csv,8677,40.4467,0.4534450214741263,7.846219223633014,77.7672,72.87190494247241,72.87190494247241
apple,apple_us_d.csv,8425,36.3373,0.4570264489009168,7.098606481529716,40.6831,-7.575704528211265,7.575704528211265
apple,apple_us_d.csv,8173,30.4268,0.4628787348817988,6.0117590850452345,37.3527,3.004393873015776,3.004393873015776
apple,apple_us_d.csv,7921,21.5344,0.4687460537773572,4.302859679942573,30.313,20.784142209940484,20.784142209940484
apple,apple_us_d.csv,7669,26.6436,0.473759903827927,5.374540743879269,21.5393,-39.32967295665476,39.32967295665476
apple,apple_us_d.csv,7417,16.2152,0.480073991749146,3.3098331482248105,26.4628,42.78557681542745,42.78557681542745
apple,apple_us_d.csv,7165,14.2491,0.4860976808320656,2.9411094393812647,15.9913,-8.41393098077257,8.41393098077257
apple,apple_us_d.csv,6913,13.9149,0.4908887687915974,2.897430338543561,13.8374,-21.379458986723296,21.379458986723296
apple,apple_us_d.csv,6661,10.3919,0.4974401823233516,2.1896758121279944,13.7855,11.585217216024082,11.585217216024082
apple,apple_us_d.csv,6409,5.86192,0.5046859838091641,1.2512614275559133,10.3017,54.39375788895256,54.39375788895256
apple,apple_us_d.csv,6157,2.89408,0.5107273277313561,0.624379535735976,5.7596,77.43878760310784,77.43878760310784
apple,apple_us_d.csv,5905,3.65836,0.5077844046612608,0.7851917902257997,2.80548,-44.77612346039754,44.77612346039754
apple,apple_us_d.csv,5653,2.5237,0.5117495667318077,0.5454489312115771,3.87995,32.127474295218256,32.127474295218256
