company,file,n_rows,days_bef_start_point,avg_abs_pct_change
dowjones,dowjones_d.csv,33579,4443,14.882636809439006
dowjones,dowjones_d.csv,33579,6665,14.886229796782718
dowjones,dowjones_d.csv,33579,8887,14.899717910033392
dowjones,dowjones_d.csv,33579,11108,14.968751837105888
dowjones,dowjones_d.csv,33579,13330,14.983554161189744
dowjones,dowjones_d.csv,33579,15552,14.942513308510579
dowjones,dowjones_d.csv,33579,17773,14.919330842315938
dowjones,dowjones_d.csv,33579,19995,14.955373082213955
dowjones,dowjones_d.csv,33579,22217,14.935682717982594
dowjones,dowjones_d.csv,33579,24438,14.919224756014376
dowjones,dowjones_d.csv,33579,26660,14.914045762128035
dowjones,dowjones_d.csv,33579,28882,14.91583851379684
dowjones,dowjones_d.csv,33579,31103,14.915794641187508
dowjones,dowjones_d.csv,33579,33325,14.91425814862055
exxon,exxon_us_d.csv,14149,0,
exxon,exxon_us_d.csv,14149,926,13.876944110408328
exxon,exxon_us_d.csv,14149,1853,14.042505613422454
exxon,exxon_us_d.csv,14149,2779,14.041049447168684
exxon,exxon_us_d.csv,14149,3705,14.08146199272374
exxon,exxon_us_d.csv,14149,4632,14.01284829235455
exxon,exxon_us_d.csv,14149,5558,14.021212446938181
exxon,exxon_us_d.csv,14149,6484,13.986975965065625
exxon,exxon_us_d.csv,14149,7411,14.003541814556959
exxon,exxon_us_d.csv,14149,8337,14.001505611458814
exxon,exxon_us_d.csv,14149,9263,13.978864233343014
exxon,exxon_us_d.csv,14149,10190,13.956308836129072
exxon,exxon_us_d.csv,14149,11116,13.942609956149383
exxon,exxon_us_d.csv,14149,12042,13.934670905455672
exxon,exxon_us_d.csv,14149,12969,13.93676562393242
exxon,exxon_us_d.csv,14149,13895,13.936687127140392
general,general_mills_us_d.csv,10758,0,
general,general_mills_us_d.csv,10758,700,14.10797468456376
general,general_mills_us_d.csv,10758,1401,14.175542260283004
general,general_mills_us_d.csv,10758,2101,14.34230259753657
general,general_mills_us_d.csv,10758,2801,14.250294218353881
general,general_mills_us_d.csv,10758,3501,14.183839099372076
general,general_mills_us_d.csv,10758,4202,14.265773047920458
general,general_mills_us_d.csv,10758,4902,14.221448519879898
general,general_mills_us_d.csv,10758,5602,14.213337749456414
general,general_mills_us_d.csv,10758,6302,14.212624769267975
general,general_mills_us_d.csv,10758,7003,14.187106037136985
general,general_mills_us_d.csv,10758,7703,14.182647712753438
general,general_mills_us_d.csv,10758,8403,14.178866643570185
general,general_mills_us_d.csv,10758,9103,14.167321513535718
general,general_mills_us_d.csv,10758,9804,14.184720801030172
general,general_mills_us_d.csv,10758,10504,14.18795828271185
gm,gm_us_d.csv,3837,0,
gm,gm_us_d.csv,3837,239,24.131755643977197
gm,gm_us_d.csv,3837,478,23.46626160834572
gm,gm_us_d.csv,3837,717,23.58137944939382
gm,gm_us_d.csv,3837,955,23.449692926119603
gm,gm_us_d.csv,3837,1194,22.959808756583623
gm,gm_us_d.csv,3837,1433,22.722941615125386
gm,gm_us_d.csv,3837,1672,22.8061903539169
gm,gm_us_d.csv,3837,1911,22.832060333525657
gm,gm_us_d.csv,3837,2150,22.75127384777891
gm,gm_us_d.csv,3837,2389,22.798276150891006
gm,gm_us_d.csv,3837,2628,22.845943931382255
gm,gm_us_d.csv,3837,2866,22.889232059201728
gm,gm_us_d.csv,3837,3105,22.891115818521016
gm,gm_us_d.csv,3837,3344,22.88416525657292
gm,gm_us_d.csv,3837,3583,22.88180031683374
microsoft,microsoft_us_d.csv,10061,0,
microsoft,microsoft_us_d.csv,10061,654,28.28614310434569
microsoft,microsoft_us_d.csv,10061,1308,28.32464004885389
microsoft,microsoft_us_d.csv,10061,1961,28.052339652701484
microsoft,microsoft_us_d.csv,10061,2615,27.695495057049058
microsoft,microsoft_us_d.csv,10061,3269,27.5226410958579
microsoft,microsoft_us_d.csv,10061,3923,27.582310155848155
microsoft,microsoft_us_d.csv,10061,4577,27.596671898487884
microsoft,microsoft_us_d.csv,10061,5230,27.63967190745315
microsoft,microsoft_us_d.csv,10061,5884,27.69801518547415
microsoft,microsoft_us_d.csv,10061,6538,27.760493658980305
microsoft,microsoft_us_d.csv,10061,7192,27.656161749833217
microsoft,microsoft_us_d.csv,10061,7846,27.541203085362856
microsoft,microsoft_us_d.csv,10061,8499,27.446816952140097
microsoft,microsoft_us_d.csv,10061,9153,27.46040084708486
microsoft,microsoft_us_d.csv,10061,9807,27.500565829814906
nasdaq,nasdaq_us_d.csv,5278,0,
nasdaq,nasdaq_us_d.csv,5278,335,18.974031404939268
nasdaq,nasdaq_us_d.csv,5278,670,19.493144893977984
nasdaq,nasdaq_us_d.csv,5278,1005,19.565323759343546
nasdaq,nasdaq_us_d.csv,5278,1340,18.888488744171248
nasdaq,nasdaq_us_d.csv,5278,1675,18.339037365508563
nasdaq,nasdaq_us_d.csv,5278,2010,17.952641136942393
nasdaq,nasdaq_us_d.csv,5278,2345,17.91028648915684
nasdaq,nasdaq_us_d.csv,5278,2679,17.73456952687413
nasdaq,nasdaq_us_d.csv,5278,3014,17.52788849244148
nasdaq,nasdaq_us_d.csv,5278,3349,17.470652790552467
nasdaq,nasdaq_us_d.csv,5278,3684,17.693104816454436
nasdaq,nasdaq_us_d.csv,5278,4019,17.568237388736655
nasdaq,nasdaq_us_d.csv,5278,4354,17.722429399678894
nasdaq,nasdaq_us_d.csv,5278,4689,17.715613661613656
nasdaq,nasdaq_us_d.csv,5278,5024,17.73351837336893
next,next_era_energy_us_d.csv,5278,0,
next,next_era_energy_us_d.csv,5278,335,17.40628094237607
next,next_era_energy_us_d.csv,5278,670,16.860622877155784
next,next_era_energy_us_d.csv,5278,1005,16.373353755453827
next,next_era_energy_us_d.csv,5278,1340,15.983552774396458
next,next_era_energy_us_d.csv,5278,1675,15.8814994964781
next,next_era_energy_us_d.csv,5278,2010,15.787164081825466
next,next_era_energy_us_d.csv,5278,2345,15.603548997039093
next,next_era_energy_us_d.csv,5278,2679,15.473255870341095
next,next_era_energy_us_d.csv,5278,3014,15.423083944953888
next,next_era_energy_us_d.csv,5278,3349,15.557549861442613
next,next_era_energy_us_d.csv,5278,3684,15.664155860468265
next,next_era_energy_us_d.csv,5278,4019,15.592881305112751
next,next_era_energy_us_d.csv,5278,4354,15.532028923789094
next,next_era_energy_us_d.csv,5278,4689,15.54298348434404
next,next_era_energy_us_d.csv,5278,5024,15.55362373792594
pepsi,pepsi_us_d.csv,12385,0,
pepsi,pepsi_us_d.csv,12385,809,13.496290603848212
pepsi,pepsi_us_d.csv,12385,1617,13.425199228931207
pepsi,pepsi_us_d.csv,12385,2426,13.563441320318672
pepsi,pepsi_us_d.csv,12385,3235,13.561325786543025
pepsi,pepsi_us_d.csv,12385,4044,13.512397240641207
pepsi,pepsi_us_d.csv,12385,4852,13.55604897612674
pepsi,pepsi_us_d.csv,12385,5661,13.588185545403046
pepsi,pepsi_us_d.csv,12385,6470,13.627440241056032
pepsi,pepsi_us_d.csv,12385,7279,13.630623868606001
pepsi,pepsi_us_d.csv,12385,8087,13.63509857840375
pepsi,pepsi_us_d.csv,12385,8896,13.659662643853956
pepsi,pepsi_us_d.csv,12385,9705,13.677038744483625
pepsi,pepsi_us_d.csv,12385,10514,13.677416419770406
pepsi,pepsi_us_d.csv,12385,11322,13.681176626789656
pepsi,pepsi_us_d.csv,12385,12131,13.678916683001088
shell,shell_us_d.csv,1014,0,
shell,shell_us_d.csv,1014,51,6.264073603824565
shell,shell_us_d.csv,1014,101,7.3874087779897755
shell,shell_us_d.csv,1014,152,7.221576679142757
shell,shell_us_d.csv,1014,203,7.642981693957438
shell,shell_us_d.csv,1014,253,7.983411483584881
shell,shell_us_d.csv,1014,304,7.954395757843303
