company,n_obs,mean_abs_pct,median_abs_pct,std_abs_pct,min_abs_pct,q1_abs_pct,q3_abs_pct,max_abs_pct,iqr_abs_pct,iqr_low,iqr_high,outliers_iqr_count,outliers_z_gt3_count,normal_fit_mu,normal_fit_sigma
plug,14,224.64854032833324,93.66960250112754,379.44224697496065,17.725947020772338,61.5769013679542,112.68736968736499,1292.8065569186665,51.11046831941079,-15.088801111161992,189.35307216648118,2,0,224.64854032833324,379.44224697496065
enph,13,116.33503216853863,70.54010491459411,125.42935923746357,11.174503820258035,53.973076200739214,119.18202976221639,405.9972864152379,65.20895356147717,-43.84035414147654,216.99546010443214,2,0,116.33503216853863,125.42935923746357
tesla,15,83.86909990231428,30.62649843360778,129.33811048008585,2.550853102065166,12.947601184230777,55.494381129365635,394.0431455130265,42.54677994513486,-50.87256873347151,119.31455104706792,3,0,83.86909990231428,129.33811048008585
amazon,28,70.30989223396817,28.607504540733313,189.9340643063023,4.14773415590105,21.217356072910793,48.334363033320514,1032.2148689523704,27.11700696040972,-19.458154367703788,89.0098734739351,2,1,70.30989223396817,189.9340643063023
fslr,19,63.86281919881794,47.69646937982675,78.57542023353727,4.476697977127466,22.747519732374084,62.19918977416188,364.55722495185495,39.45167004178779,-36.4299853303076,121.37669483684357,1,1,63.86281919881794,78.57542023353727
apple,41,42.99457902265101,32.127474295218256,45.1239426006554,3.004393873015776,10.654247587942804,58.27233696675862,243.31143746837523,47.61808937881582,-60.77288648028092,129.69947103498234,2,1,42.99457902265101,45.1239426006554
eog,36,32.09934887885627,26.243544958293683,31.266613111368326,1.4421008446709147,13.2254001471053,36.90632041862803,171.48881045303517,23.680920271522726,-22.29598026017879,72.42770082591213,4,1,32.09934887885627,31.266613111368326
wmb,44,30.370104934146084,16.434370908512776,39.858581822082186,0.12303837048296379,6.030332587173188,36.07211846286326,218.43046251770716,30.04178587569007,-39.03234622636192,81.13479727639836,4,1,30.370104934146084,39.858581822082186
walmart,53,28.91109117436691,22.650877387887686,26.10457735256444,0.01416690399250326,7.468783178914712,42.947210189060634,97.39846878503377,35.47842701014592,-45.74885733630417,96.16485070427952,1,0,28.91109117436691,26.10457735256444
microsoft,39,27.497173180896425,20.031939121227914,26.408075409288212,0.39189430237711137,11.242271683917185,34.022777065602085,113.24023448218385,22.7805053816849,-22.928486388610164,68.19353513812943,3,1,27.497173180896425,26.408075409288212
kmi,14,23.446548772919623,17.12730572220927,20.962610055297624,0.020402733328775725,9.433914587798961,38.35813640537131,75.50112550481488,28.924221817572352,-33.95241813855957,81.74446913172984,0,0,23.446548772919623,20.962610055297624
gm,15,22.879656916704167,19.66114547782126,15.510338431175951,4.938978579422418,9.09090359439554,33.529133581732374,54.8416585563552,24.438229987336832,-27.56644138660971,70.18647856273762,0,0,22.879656916704167,15.510338431175951
target,42,22.433203451141228,18.34066267767698,18.915002804744223,0.2108041396352193,7.665665653394184,31.119211762261703,80.25167534880391,23.45354610886752,-27.51465350990709,66.29953092556298,1,1,22.433203451141228,18.915002804744223
cop,44,20.785682248084306,16.025013751938992,17.391448047044907,2.375493553693186,7.224147588645907,27.824025102994387,81.49631715373977,20.59987751434848,-23.675668682876818,58.72384137451711,2,1,20.785682248084306,17.391448047044907
bp,20,19.399976725261634,17.233954634140822,13.975430014157727,0.3975524657615366,9.997203764070482,27.132390138412827,48.200561737887696,17.135186374342346,-15.705575797443037,52.83516969992635,0,0,19.399976725261634,13.975430014157727
vde,20,18.728268828867044,18.16317627521439,13.293048986525505,3.3920842511794196,5.830836620457593,22.94086386053184,46.177127453710305,17.11002724007425,-19.834204239653783,48.60590472064322,0,0,18.728268828867044,13.293048986525505
xle,20,18.33324392989313,16.425939993549193,13.14502171118026,2.727143659618511,8.250084786304198,22.677719861777504,47.005669480080776,14.427635075473306,-13.391367826905762,44.31917247498747,2,0,18.33324392989313,13.14502171118026
coke,56,17.96564068023077,14.951288034374553,13.163108515472661,0.22886709963450239,6.7353188465897915,27.269881255201888,48.82114096085225,20.534562408612096,-24.066524766328353,58.07172486812003,0,0,17.96564068023077,13.163108515472661
nasdaq,20,17.73643227887272,10.62801587421457,16.648767031630634,1.0095653306437566,5.195351376904321,24.318409929596925,60.83006639023072,19.123058552692605,-23.489236452134588,53.00299775863583,1,0,17.73643227887272,16.648767031630634
enb,20,17.464220440582473,14.420894856749257,10.318834388232355,2.296378979561176,11.160605325046927,23.582664442447278,46.08596851849921,12.422059117400352,-7.472483351053601,42.21575311854781,1,0,17.464220440582473,10.318834388232355
chevron,56,16.22540143061469,13.952440397921906,11.89176772566978,0.2013270374672765,7.461561751036588,23.756168177890384,48.54569407268755,16.294606426853797,-16.980347889244108,48.19807781817108,1,0,16.22540143061469,11.89176772566978
next,20,15.553384318282307,13.141941625660923,12.322890350885949,0.5955213385446251,6.860371708353445,21.830810732743142,41.13317255685424,14.970439024389698,-15.595286828231103,44.28646926932769,0,0,15.553384318282307,12.322890350885949
sp500,157,15.03204419305982,11.85947477093184,15.240796416405091,0.09479010738393522,4.827856296054945,21.382486706444208,111.2044123190399,16.554630410389265,-20.00408931952895,46.2144323220281,5,4,15.03204419305982,15.240796416405091
total,20,14.987395600044556,14.747064086151436,9.790147008714586,0.2559799666945763,7.259526524429985,18.21556444503414,34.91807651828126,10.956037920604155,-9.174530356476248,34.64962132594037,1,0,14.987395600044556,9.790147008714586
